episode,reward,profit_dollars,num_trades,sharpe_ratio,win_rate,max_drawdown,loss,avg_loss,epsilon,adaptive_epsilon,oos_profit_dollars,oos_num_trades,oos_sharpe_ratio,oos_win_rate,oos_max_drawdown,exploration_balance,hold_pct,buy_pct,sell_pct
134,-0.0047,-329.44,9,-2.466,0.556,0.063,0.0106,0.0162,0.490,0.490,-328.45,1.0,0.000,0.333,0.042,0.364,0.175,0.480,0.345
135,0.3485,432.64,10,2.212,0.300,0.044,0.0155,0.0159,0.478,0.478,298.94,1.6666666666666667,56.824,0.667,0.000,0.361,0.174,0.483,0.343
136,0.0932,97.09,8,1.807,0.375,0.024,0.0129,0.0158,0.493,0.493,219.71,1.3333333333333333,6.339,0.333,0.000,0.358,0.174,0.485,0.342
137,-0.1216,-620.80,7,-4.416,0.429,0.087,0.0106,0.0158,0.480,0.480,98.40,2.3333333333333335,17.206,0.667,0.020,0.358,0.173,0.484,0.342
138,-0.1165,-548.77,4,-38.975,0.000,0.055,0.0124,0.0156,0.495,0.495,-712.02,2.6666666666666665,-4.865,0.300,0.086,0.359,0.173,0.483,0.344
139,-0.0520,-430.87,4,-7.766,0.500,0.043,0.0087,0.0153,0.483,0.483,-622.69,4.666666666666667,-2.036,0.258,0.082,0.358,0.173,0.484,0.343
140,-0.2472,-1128.15,8,-6.046,0.375,0.150,0.0152,0.0150,0.497,0.497,-51.06,5.333333333333333,3.118,0.542,0.056,0.358,0.173,0.485,0.341
141,-0.0039,-582.67,7,-8.168,0.429,0.062,0.0106,0.0148,0.485,0.485,-168.86,2.3333333333333335,13.751,0.444,0.051,0.357,0.174,0.487,0.339
142,-0.1448,-356.70,7,-1.315,0.143,0.112,0.0133,0.0147,0.473,0.473,-81.20,1.0,0.000,0.000,0.008,0.355,0.174,0.489,0.337
143,-0.0963,-588.76,9,-3.269,0.556,0.098,0.0113,0.0145,0.461,0.461,211.34,1.0,0.000,0.333,0.000,0.351,0.173,0.492,0.335
144,-0.1816,-677.26,10,-4.134,0.300,0.104,0.0102,0.0143,0.493,0.493,-93.32,1.0,0.000,0.000,0.009,0.348,0.172,0.495,0.333
145,0.0297,356.28,7,3.489,0.714,0.044,0.0170,0.0142,0.480,0.480,0.00,1.0,0.000,0.000,0.000,0.344,0.171,0.498,0.331
146,0.1472,84.55,10,1.086,0.600,0.024,0.0114,0.0141,0.468,0.468,-276.07,1.0,0.000,0.333,0.030,0.342,0.171,0.500,0.329
147,-0.0872,-566.63,11,-8.480,0.364,0.062,0.0093,0.0133,0.497,0.497,-618.83,1.6666666666666667,-9.066,0.000,0.062,0.339,0.170,0.503,0.327
148,-0.0082,-508.24,11,-3.307,0.455,0.089,0.0128,0.0132,0.485,0.485,-700.85,4.333333333333333,-28.534,0.236,0.091,0.338,0.171,0.504,0.325
149,0.3264,775.91,10,5.983,0.500,0.014,0.0133,0.0132,0.473,0.473,-122.37,6.666666666666667,2.955,0.417,0.046,0.341,0.172,0.504,0.324
150,0.3452,1315.75,8,8.552,0.625,0.033,0.0121,0.0130,0.493,0.493,-97.31,3.6666666666666665,-1.121,0.433,0.069,0.351,0.176,0.502,0.322
151,-0.0752,251.44,6,1.619,0.500,0.063,0.0113,0.0128,0.480,0.480,272.51,6.0,-3.856,0.533,0.039,0.357,0.179,0.500,0.321
152,0.0966,-58.50,6,-0.584,0.667,0.061,0.0121,0.0126,0.468,0.468,-845.11,4.333333333333333,-6.444,0.467,0.090,0.358,0.179,0.500,0.321
153,-0.0902,-907.57,13,-3.392,0.385,0.181,0.0115,0.0125,0.457,0.457,-288.73,1.6666666666666667,1.008,0.333,0.043,0.356,0.179,0.502,0.319
154,0.0170,-203.27,6,-1.422,0.500,0.076,0.0094,0.0122,0.490,0.490,-381.99,1.0,0.000,0.000,0.038,0.352,0.178,0.505,0.318
155,-0.2188,-226.67,8,-1.901,0.250,0.070,0.0092,0.0120,0.478,0.478,431.82,1.0,0.000,0.667,0.000,0.349,0.177,0.507,0.316
156,-0.1578,-725.15,9,-6.718,0.222,0.073,0.0113,0.0119,0.493,0.493,159.93,1.0,0.000,0.333,0.000,0.347,0.177,0.509,0.314
157,0.4811,1322.31,8,15.461,0.750,0.006,0.0102,0.0117,0.480,0.480,0.00,1.0,0.000,0.000,0.000,0.343,0.176,0.512,0.312
158,0.0769,144.87,9,0.983,0.444,0.041,0.0093,0.0117,0.495,0.495,0.00,1.0,0.000,0.000,0.000,0.340,0.175,0.514,0.311
