episode,reward,profit_dollars,num_trades,sharpe_ratio,win_rate,max_drawdown,loss,avg_loss,epsilon,oos_profit_dollars,oos_num_trades,oos_sharpe_ratio,oos_win_rate,oos_max_drawdown
101,-0.005,-17.14,5,-0.602,0.400,0.012,0.017,0.018,0.885,0.00,0.0,0.000,0.000,0.000
102,-0.011,-833.72,4,-13.278,0.000,0.083,0.013,0.018,0.884,0.00,0.0,0.000,0.000,0.000
103,-0.011,77.47,3,4.884,0.667,0.009,0.012,0.017,0.883,-50.14,0.4,0.000,0.000,0.005
104,0.054,551.91,3,16.208,0.667,0.006,0.015,0.017,0.882,72.89,0.2,0.000,0.200,0.000
105,-0.064,-331.27,7,-5.228,0.286,0.048,0.008,0.017,0.881,0.00,0.0,0.000,0.000,0.000
106,0.018,-131.95,6,-3.359,0.333,0.030,0.016,0.016,0.880,0.00,0.0,0.000,0.000,0.000
107,-0.034,-118.97,5,-2.718,0.600,0.025,0.016,0.016,0.879,0.00,0.0,0.000,0.000,0.000
108,-0.009,-93.03,7,-0.552,0.429,0.081,0.008,0.015,0.878,-86.38,0.2,0.000,0.000,0.009
109,-0.021,-56.21,4,-2.357,0.250,0.017,0.027,0.015,0.876,0.00,0.0,0.000,0.000,0.000
110,0.013,740.93,4,12.314,0.750,0.012,0.021,0.016,0.875,-55.90,0.2,0.000,0.000,0.006
111,-0.070,-349.67,4,-4.669,0.500,0.071,0.010,0.015,0.875,116.06,0.2,0.000,0.200,0.000
112,-0.064,-252.68,4,-5.823,0.500,0.042,0.022,0.016,0.874,51.58,0.4,1.371,0.100,0.003
113,-0.011,-311.88,4,-29.347,0.000,0.031,0.012,0.016,0.873,0.00,0.0,0.000,0.000,0.000
114,-0.027,210.87,3,5.781,0.667,0.019,0.017,0.015,0.871,0.00,0.0,0.000,0.000,0.000
115,-0.036,-459.42,4,-15.636,0.250,0.046,0.013,0.015,0.870,0.00,0.0,0.000,0.000,0.000
116,-0.013,-51.67,5,-1.252,0.400,0.032,0.015,0.015,0.869,0.00,0.0,0.000,0.000,0.000
117,-0.071,117.29,3,2.014,0.333,0.027,0.007,0.015,0.868,0.00,0.0,0.000,0.000,0.000
118,-0.026,-407.69,3,-8.925,0.333,0.046,0.017,0.015,0.868,0.00,0.0,0.000,0.000,0.000
119,-0.001,-642.35,8,-7.619,0.250,0.069,0.014,0.015,0.866,0.00,0.0,0.000,0.000,0.000
120,-0.034,327.89,4,4.215,0.750,0.041,0.017,0.015,0.865,0.00,0.0,0.000,0.000,0.000
121,-0.022,-163.47,3,-25.572,0.000,0.016,0.012,0.015,0.864,0.00,0.0,0.000,0.000,0.000
122,-0.061,-1253.30,3,-34.393,0.000,0.125,0.021,0.015,0.863,0.00,0.0,0.000,0.000,0.000
123,0.031,1077.52,4,14.014,0.750,0.000,0.018,0.015,0.862,0.00,0.0,0.000,0.000,0.000
124,-0.037,-140.17,6,-1.752,0.333,0.042,0.016,0.015,0.861,-286.96,0.4,0.000,0.200,0.029
125,-0.004,438.68,4,9.597,0.750,0.007,0.008,0.015,0.860,-113.97,0.6,-2.213,0.100,0.014
126,0.006,-428.57,3,-17.265,0.333,0.045,0.020,0.015,0.859,-18.06,0.2,0.000,0.000,0.002
127,-0.025,-4.72,6,-0.216,0.500,0.014,0.011,0.015,0.858,239.66,1.4,2.097,0.600,0.020
128,0.005,299.58,4,11.715,0.750,0.004,0.019,0.015,0.857,132.39,1.6,0.295,0.500,0.011
129,-0.008,-762.31,6,-5.537,0.333,0.099,0.010,0.015,0.855,55.19,1.0,-3.581,0.400,0.012
130,-0.041,-240.04,7,-2.384,0.571,0.065,0.031,0.016,0.855,-94.47,1.2,-3.355,0.400,0.016
131,0.017,-812.46,4,-24.228,0.000,0.081,0.015,0.016,0.854,92.03,0.4,0.000,0.200,0.002
132,0.086,331.75,6,2.943,0.500,0.045,0.012,0.016,0.853,113.06,0.8,2.749,0.100,0.014
133,-0.068,-605.89,5,-25.293,0.200,0.062,0.006,0.016,0.852,-134.21,1.8,9.533,0.467,0.029
134,-0.001,-811.06,6,-11.672,0.333,0.081,0.014,0.015,0.850,-136.08,1.0,0.832,0.200,0.023
135,0.055,472.54,5,9.280,0.800,0.011,0.015,0.015,0.850,-27.76,0.4,0.000,0.200,0.003
