episode,train_profit,oos_profit_fixed,oos_profit_median,oos_profit_mean,oos_win_rate,oos_consistency,train_trades,oos_trades,train_win_rate,train_sharpe,oos_sharpe,loss,epsilon
151,1114.60,115.52,2.89,47.94,0.700,1.000,20,1.6,0.600,1.984,0.121,0.000447,0.498
152,-460.45,1234.76,1234.76,1213.38,0.600,1.000,18,3.4,0.556,-2.056,7.714,0.000424,0.494
153,-502.19,1112.80,1112.80,1112.80,1.000,1.000,20,2.0,0.350,-4.481,20.034,0.000424,0.490
154,-145.39,0.00,0.00,0.00,0.000,0.000,23,0.8,0.609,-0.439,0.000,0.000395,0.485
155,-863.16,4.44,4.44,-14.69,0.800,0.600,22,1.4,0.500,-2.545,-5.270,0.000405,0.488
156,-889.44,0.00,0.00,0.00,0.000,0.000,19,0.0,0.421,-3.884,0.000,0.000378,0.484
157,798.43,289.36,289.36,325.85,0.533,1.000,15,2.2,0.400,2.154,8.600,0.000397,0.479
158,190.21,-360.50,-254.63,-296.98,0.320,0.000,22,11.2,0.500,0.573,-1.390,0.000365,0.494
159,599.43,1289.85,1289.85,1289.85,0.667,1.000,17,3.0,0.529,1.999,14.339,0.000360,0.490
160,-406.23,0.00,0.00,0.00,0.000,0.000,12,0.0,0.500,-1.139,0.000,0.000398,0.485
161,295.55,229.08,229.08,229.08,0.500,1.000,21,2.0,0.476,1.776,5.912,0.000380,0.481
162,764.29,-623.55,-623.55,-429.21,0.590,0.200,18,6.8,0.500,3.259,-1.992,0.000382,0.484
163,-303.44,-190.95,-196.24,-90.20,0.447,0.200,15,9.4,0.533,-1.563,-0.239,0.000401,0.479
164,-481.27,241.97,241.97,241.97,0.667,1.000,15,3.0,0.600,-1.240,4.045,0.000387,0.475
165,2431.31,-1721.79,-1032.29,-1269.93,0.485,0.000,21,12.4,0.619,3.358,-4.266,0.000361,0.471
166,3140.94,175.07,283.94,711.72,0.540,1.000,23,5.6,0.826,11.290,3.577,0.000388,0.498
167,1411.33,-678.77,-678.77,-347.17,0.550,0.400,15,13.8,0.533,2.193,-0.887,0.000376,0.494
168,705.20,-778.80,-778.80,-388.11,0.643,0.400,16,13.4,0.500,1.217,-1.185,0.000350,0.496
169,335.66,-961.93,-961.93,-552.00,0.500,0.200,21,13.2,0.381,1.681,-1.938,0.000366,0.491
170,678.32,459.82,428.89,437.20,0.390,1.000,17,5.4,0.588,4.214,4.468,0.000364,0.487
171,-714.86,392.43,746.61,614.45,0.491,1.000,23,8.2,0.391,-4.092,4.622,0.000359,0.482
172,607.15,694.26,694.26,694.26,0.500,1.000,20,4.0,0.550,1.449,4.290,0.000351,0.478
173,1450.02,1086.98,1086.98,1077.99,0.511,1.000,22,9.8,0.636,4.534,3.153,0.000325,0.474
174,1380.76,-177.69,-177.69,57.96,0.601,0.400,15,7.6,0.600,5.671,0.445,0.000335,0.469
175,2784.82,-634.63,-634.63,-503.01,0.419,0.200,14,12.4,0.786,6.881,-1.286,0.000315,0.471
176,-890.13,-1585.55,-1684.03,-1566.26,0.425,0.000,16,12.8,0.500,-2.267,-5.104,0.000369,0.469
177,-298.78,-1859.91,-1698.35,-1558.55,0.429,0.000,16,9.8,0.625,-0.841,-5.713,0.000336,0.471
178,-978.85,-450.25,-450.25,-326.19,0.456,0.200,20,11.4,0.250,-2.987,-0.884,0.000332,0.468
179,1314.64,-414.66,-414.66,-414.66,0.500,0.000,22,2.0,0.500,2.972,-5.070,0.000348,0.474
180,1272.27,-2021.55,-1923.38,-1755.71,0.413,0.000,19,12.2,0.737,5.097,-5.750,0.000355,0.469
181,-1349.19,-1127.29,-785.94,-623.83,0.509,0.200,20,10.2,0.350,-8.177,-2.336,0.000342,0.474
182,-67.83,-638.88,-638.88,-296.30,0.610,0.400,20,6.6,0.350,-0.333,-1.001,0.000361,0.500
183,140.38,-885.41,-903.14,-797.37,0.553,0.200,23,9.4,0.348,1.300,-2.596,0.000387,0.496
184,1017.44,-870.74,-870.74,-658.38,0.559,0.200,15,11.0,0.667,6.931,-2.487,0.000362,0.493
185,-622.38,-892.73,-910.35,-840.90,0.482,0.200,13,17.0,0.462,-2.597,-2.152,0.000337,0.488
186,-839.64,-236.89,-236.89,-236.89,0.500,0.000,23,4.0,0.348,-3.676,-1.656,0.000342,0.484
187,-760.74,110.46,110.46,308.04,0.539,1.000,27,6.6,0.481,-2.912,1.530,0.000348,0.485
188,834.67,458.03,458.03,504.28,0.542,1.000,19,9.6,0.526,4.666,2.125,0.000354,0.485
189,704.22,-944.09,-944.09,-759.43,0.470,0.200,22,14.0,0.455,3.211,-2.302,0.000314,0.482
190,-104.50,29.41,29.41,29.41,1.000,1.000,21,1.0,0.571,-0.227,0.000,0.000348,0.478
191,982.94,-112.12,-112.12,-112.12,0.600,0.000,18,10.0,0.500,2.792,-0.551,0.000344,0.474
192,-364.16,426.91,397.49,393.38,0.610,1.000,21,6.6,0.381,-1.753,13.671,0.000328,0.475
193,506.41,-929.05,-929.05,-674.04,0.524,0.000,19,16.8,0.684,2.432,-1.808,0.000337,0.471
194,1290.33,1331.54,1162.80,1144.27,0.681,1.000,18,10.2,0.556,3.646,8.271,0.000307,0.467
195,-141.13,0.00,152.61,122.09,0.800,0.800,16,0.8,0.500,-0.628,0.000,0.000320,0.481
196,583.16,0.00,0.00,0.00,0.000,0.000,16,0.0,0.562,2.657,0.000,0.000334,0.482
197,2298.19,45.08,45.08,21.58,0.490,0.800,22,6.8,0.500,3.704,0.261,0.000346,0.482
198,484.32,-139.49,-186.77,-174.24,0.578,0.200,24,14.2,0.542,1.392,-0.548,0.000335,0.479
199,-754.21,1285.08,864.41,910.21,0.456,1.000,23,9.2,0.478,-1.949,3.112,0.000360,0.478
200,-207.00,450.39,478.44,517.86,0.626,1.000,21,9.6,0.571,-0.619,2.115,0.000349,0.474
201,-750.09,1193.50,676.68,791.07,0.578,1.000,20,12.8,0.450,-2.125,2.188,0.000329,0.469
202,-325.00,-352.98,-590.12,-560.80,0.444,0.000,22,15.8,0.500,-1.471,-1.728,0.000369,0.472
203,1380.87,66.40,-268.51,-260.50,0.449,0.200,15,13.8,0.600,5.131,-0.928,0.000366,0.474
204,-102.74,-228.38,-402.26,-349.51,0.504,0.000,19,10.0,0.579,-0.310,-1.722,0.000368,0.469
205,239.64,-266.06,-266.06,-280.94,0.444,0.000,19,9.0,0.632,0.613,-1.405,0.000376,0.467
206,-667.82,641.42,641.42,641.42,1.000,1.000,18,1.0,0.333,-2.235,0.000,0.000362,0.468
207,-562.01,70.47,70.47,139.90,0.630,0.600,26,4.8,0.308,-2.566,1.509,0.000337,0.500
208,-777.97,815.48,797.77,804.85,0.800,1.000,17,2.6,0.412,-2.193,20.229,0.000342,0.496
209,-1608.76,-893.56,-286.64,-394.24,0.514,0.000,21,7.4,0.333,-5.705,-1.602,0.000310,0.491
210,-590.98,-438.47,-463.79,-453.66,0.180,0.000,25,5.6,0.360,-1.658,-4.341,0.000314,0.487
211,241.78,454.30,454.30,454.30,0.750,1.000,19,4.0,0.684,0.640,3.465,0.000335,0.484
212,110.29,-468.35,-797.96,-724.25,0.413,0.000,14,12.6,0.500,0.333,-2.527,0.000343,0.479
213,-1553.42,973.51,440.68,535.47,0.641,1.000,13,10.0,0.615,-2.910,1.813,0.000337,0.475
214,2657.67,-423.40,463.50,293.89,0.538,0.800,18,8.6,0.833,11.667,2.086,0.000382,0.471
215,-7.91,-145.09,767.00,652.53,0.507,0.800,18,13.0,0.611,-0.028,2.271,0.000374,0.497
216,566.45,1951.40,1951.40,1933.48,0.556,1.000,17,9.0,0.529,0.822,6.508,0.000380,0.493
217,1321.66,402.09,402.09,402.09,0.500,1.000,15,2.0,0.467,5.225,4.357,0.000385,0.488
218,10.18,1127.06,1104.41,1043.13,0.492,1.000,18,8.6,0.444,0.045,3.961,0.000361,0.485
219,769.41,-872.81,-872.81,-670.39,0.377,0.200,18,14.8,0.500,2.750,-1.442,0.000335,0.481
220,-214.58,-279.45,-279.45,-200.04,0.374,0.400,21,13.4,0.286,-1.469,-0.455,0.000348,0.477
221,189.15,-1674.85,-644.14,-850.28,0.543,0.000,15,7.0,0.533,0.798,-3.469,0.000342,0.475
222,146.54,102.02,29.61,6.46,0.667,0.600,21,2.2,0.571,0.913,-1.827,0.000331,0.471
223,-81.89,-343.32,871.26,675.46,0.629,0.800,16,8.6,0.500,-0.359,3.533,0.000324,0.500
224,712.25,102.02,102.02,38.49,0.667,0.600,15,2.2,0.533,2.112,-1.183,0.000357,0.500
225,-912.78,-685.74,-685.74,-736.32,0.442,0.000,14,10.4,0.500,-2.685,-2.999,0.000316,0.496
226,-193.78,47.95,47.95,-3.56,0.327,0.800,16,9.2,0.562,-0.931,-0.001,0.000360,0.491
227,-264.66,157.04,157.04,93.50,0.307,0.600,17,7.2,0.588,-0.744,0.472,0.000326,0.490
228,-1260.51,628.63,370.03,475.51,0.487,1.000,24,9.8,0.375,-5.907,2.981,0.000355,0.488
229,-307.30,-906.02,-1093.30,-1075.58,0.354,0.000,15,12.4,0.267,-0.642,-5.600,0.000325,0.484
230,2542.33,263.74,263.74,209.34,0.358,0.800,20,8.4,0.750,6.555,1.161,0.000360,0.493
231,1935.01,334.93,334.93,270.19,0.693,1.000,17,6.2,0.706,8.348,2.303,0.000371,0.458
232,-191.02,-495.21,-662.14,-595.37,0.220,0.000,22,4.6,0.409,-0.800,-6.928,0.000358,0.500
