episode,reward,profit_dollars,num_trades,sharpe_ratio,win_rate,max_drawdown,loss,avg_loss,epsilon,oos_profit_dollars,oos_num_trades,oos_sharpe_ratio,oos_win_rate,oos_max_drawdown,target_achieved,profit_gap,quality_score
77,0.1077,122.20,4,2.162,0.250,0.028,0.0166,0.0216,0.325,0.00,0,0.000,0.000,0.000,0,377.80,51.0
78,0.3942,681.72,5,2.834,0.600,0.094,0.0125,0.0208,0.295,0.00,1,0.000,0.000,0.000,1,-181.72,90.0
79,-0.7496,-1610.74,11,-5.583,0.455,0.200,0.0131,0.0203,0.322,1785.11,2,67.655,1.000,0.000,0,2110.74,0.0
80,-0.2453,-879.46,6,-7.463,0.500,0.117,0.0120,0.0197,0.292,0.00,1,0.000,0.000,0.000,0,1379.46,0.0
81,0.4085,927.21,10,6.413,0.700,0.017,0.0091,0.0188,0.319,1268.21,5,7.563,0.600,0.062,1,-427.21,92.5
82,0.2382,604.94,9,4.298,0.444,0.029,0.0131,0.0186,0.289,1064.37,3,21.915,1.000,0.000,1,-104.94,86.1
83,0.1801,352.06,8,6.272,0.500,0.009,0.0109,0.0179,0.263,-20.81,7,-0.151,0.429,0.055,0,147.94,75.7
84,-0.0572,-208.21,5,-8.797,0.400,0.028,0.0093,0.0174,0.239,0.00,0,0.000,0.000,0.000,0,708.21,8.3
85,0.2564,282.88,7,2.664,0.571,0.045,0.0153,0.0171,0.260,0.00,1,0.000,0.000,0.000,0,217.12,71.9
86,0.0567,-103.38,4,-1.707,0.250,0.026,0.0106,0.0166,0.236,203.56,2,35.881,1.000,0.000,0,603.38,13.0
87,-0.1994,-837.06,3,-11.459,0.333,0.084,0.0102,0.0160,0.257,0.00,1,0.000,0.000,0.000,0,1337.06,0.0
88,0.1032,328.55,3,4.598,0.333,0.031,0.0101,0.0154,0.234,0.00,1,0.000,0.000,0.000,0,171.45,69.6
89,-0.4321,-1219.56,5,-30.637,0.000,0.122,0.0117,0.0149,0.255,1086.21,1,0.000,1.000,0.000,0,1719.56,0.0
90,0.5275,1745.12,8,6.941,0.625,0.058,0.0120,0.0144,0.231,0.00,1,0.000,0.000,0.000,1,-1245.12,90.6
91,-0.2448,-694.96,8,-11.781,0.125,0.069,0.0092,0.0139,0.252,0.00,0,0.000,0.000,0.000,0,1194.96,0.0
92,-0.1376,-650.52,8,-7.083,0.250,0.065,0.0131,0.0137,0.229,0.00,1,0.000,0.000,0.000,0,1150.52,0.0
93,0.1994,438.18,7,3.673,0.429,0.045,0.0105,0.0135,0.249,0.00,0,0.000,0.000,0.000,0,61.82,80.8
94,-0.0847,-353.14,2,-20.247,0.000,0.035,0.0091,0.0132,0.226,0.00,1,0.000,0.000,0.000,0,853.14,0.0
95,0.3358,690.67,7,4.380,0.571,0.055,0.0127,0.0130,0.247,1583.63,7,7.713,0.714,0.069,1,-190.67,89.3
96,-0.1487,-567.36,4,-12.570,0.000,0.057,0.0102,0.0127,0.224,0.00,0,0.000,0.000,0.000,0,1067.36,0.0
97,-0.2020,-801.45,4,-8.022,0.250,0.109,0.0102,0.0124,0.203,0.00,1,0.000,0.000,0.000,0,1301.45,0.0
98,0.4079,542.77,5,6.760,0.800,0.039,0.0090,0.0123,0.222,-219.07,2,-12.337,0.500,0.025,1,-42.77,95.0
99,-0.1945,-450.08,1,0.000,0.000,0.045,0.0067,0.0117,0.201,0.00,1,0.000,0.000,0.000,0,950.08,0.0
100,0.0499,226.87,3,3.078,0.333,0.035,0.0097,0.0114,0.219,1680.55,3,13.798,0.667,0.032,0,273.13,61.5
101,-0.2016,-1086.07,6,-11.934,0.333,0.109,0.0085,0.0110,0.199,0.00,1,0.000,0.000,0.000,0,1586.07,0.0
102,-0.0460,-217.64,5,-2.837,0.200,0.054,0.0074,0.0106,0.217,0.00,1,0.000,0.000,0.000,0,717.64,2.6
103,0.4193,1058.71,4,9.422,0.500,0.019,0.0068,0.0104,0.197,0.00,0,0.000,0.000,0.000,1,-558.71,87.5
104,0.1964,493.83,3,4.678,0.333,0.042,0.0067,0.0102,0.215,1086.21,1,0.000,1.000,0.000,0,6.17,82.8
105,0.1119,-119.86,7,-1.153,0.429,0.055,0.0055,0.0099,0.195,0.00,1,0.000,0.000,0.000,0,619.86,16.1
106,-0.0661,-358.76,7,-5.486,0.429,0.040,0.0065,0.0098,0.213,0.00,1,0.000,0.000,0.000,0,858.76,0.0
107,0.2239,337.80,4,6.023,0.500,0.012,0.0076,0.0096,0.193,913.61,1,0.000,1.000,0.000,0,162.20,74.5
108,-0.4318,-686.70,9,-4.665,0.444,0.110,0.0084,0.0095,0.210,1266.88,2,35.761,1.000,0.000,0,1186.70,0.0
109,-0.0237,-118.97,4,-4.741,0.250,0.018,0.0066,0.0094,0.191,0.00,1,0.000,0.000,0.000,0,618.97,11.7
110,0.0544,134.79,5,2.005,0.400,0.029,0.0078,0.0091,0.174,204.70,3,146.771,1.000,0.000,0,365.21,55.8
111,-0.1300,-478.98,3,-12.093,0.333,0.058,0.0056,0.0089,0.189,0.00,1,0.000,0.000,0.000,0,978.98,0.0
112,-0.1182,-488.27,5,-4.916,0.600,0.093,0.0060,0.0087,0.172,0.00,0,0.000,0.000,0.000,0,988.27,0.0
113,-0.3284,-1415.17,3,-17.269,0.333,0.142,0.0060,0.0085,0.187,0.00,1,0.000,0.000,0.000,0,1915.17,0.0
114,-0.0067,-0.08,1,0.000,0.000,0.000,0.0045,0.0082,0.204,0.00,0,0.000,0.000,0.000,0,500.08,15.0
115,-0.3551,-1453.92,4,-11.060,0.250,0.146,0.0049,0.0080,0.185,1182.94,4,8.897,0.750,0.032,0,1953.92,0.0
116,-0.1685,-666.99,5,-20.907,0.000,0.067,0.0051,0.0078,0.202,0.00,1,0.000,0.000,0.000,0,1166.99,0.0
117,0.1991,291.96,5,2.531,0.600,0.040,0.0049,0.0075,0.183,0.00,1,0.000,0.000,0.000,0,208.04,73.4
118,-0.1272,-308.13,3,-4.763,0.667,0.058,0.0050,0.0073,0.166,0.00,1,0.000,0.000,0.000,0,808.13,7.0
119,-0.0369,-356.94,6,-4.684,0.500,0.052,0.0046,0.0071,0.181,0.00,0,0.000,0.000,0.000,0,856.94,0.0
120,-0.0060,-26.71,2,-5.545,0.500,0.005,0.0044,0.0067,0.165,0.00,1,0.000,0.000,0.000,0,526.71,25.4
121,0.1576,667.68,2,12.844,0.500,0.008,0.0052,0.0065,0.179,625.31,2,14.256,0.500,0.003,1,-167.68,87.5
122,0.1879,572.58,3,11.446,0.667,0.011,0.0063,0.0064,0.163,0.00,1,0.000,0.000,0.000,1,-72.58,91.7
123,-0.2463,-966.62,3,-25.265,0.000,0.097,0.0041,0.0062,0.178,0.00,0,0.000,0.000,0.000,0,1466.62,0.0
124,0.0943,142.68,3,1.301,0.667,0.073,0.0045,0.0061,0.161,0.00,1,0.000,0.000,0.000,0,357.32,56.1
125,0.1885,266.83,6,1.976,0.500,0.058,0.0062,0.0060,0.176,0.00,1,0.000,0.000,0.000,0,233.17,68.6
126,-0.6393,-1634.98,5,-13.592,0.200,0.167,0.0042,0.0058,0.160,0.00,0,0.000,0.000,0.000,0,2134.98,0.0
127,-0.0753,-141.45,2,-295.749,0.000,0.014,0.0048,0.0057,0.145,1411.77,4,31.421,1.000,0.000,0,641.45,3.7
128,-0.1045,-375.50,5,-10.924,0.200,0.039,0.0046,0.0056,0.158,0.00,0,0.000,0.000,0.000,0,875.50,0.0
129,0.0642,-174.37,5,-3.057,0.400,0.032,0.0056,0.0056,0.143,0.00,1,0.000,0.000,0.000,0,674.37,11.1
130,0.0553,-173.53,6,-3.690,0.500,0.027,0.0044,0.0055,0.156,2083.46,1,0.000,1.000,0.000,0,673.53,13.6
131,0.1340,7.26,7,0.093,0.429,0.046,0.0053,0.0055,0.142,0.00,1,0.000,0.000,0.000,0,492.74,27.2
132,0.0983,24.51,3,2.116,0.667,0.007,0.0038,0.0053,0.155,0.00,0,0.000,0.000,0.000,0,475.49,53.6
133,-0.0054,0.00,1,0.000,0.000,0.000,0.0038,0.0051,0.140,0.00,1,0.000,0.000,0.000,0,500.00,15.0
134,0.4207,1094.25,10,11.929,0.700,0.007,0.0045,0.0050,0.153,0.00,1,0.000,0.000,0.000,1,-594.25,92.5
135,0.3303,320.35,4,4.511,0.750,0.037,0.0035,0.0049,0.139,0.00,1,0.000,0.000,0.000,0,179.65,79.4
136,0.4816,1434.23,3,21.564,0.667,0.002,0.0043,0.0048,0.151,1228.91,1,0.000,1.000,0.000,1,-934.23,91.7
