episode,train_profit,oos_profit_fixed,oos_profit_median,oos_profit_mean,oos_win_rate,oos_consistency,train_trades,oos_trades,train_win_rate,train_sharpe,oos_sharpe,loss,epsilon
64,546.70,-75.81,0.00,317.39,0.182,0.455,4,1.8,0.750,14.834,3.167,0.000000,0.414
60,-324.17,0.00,0.00,-407.42,0.091,0.091,5,0.5,0.400,-1.898,0.000,0.004671,0.485
65,-48.86,-75.81,0.00,317.39,0.182,0.455,7,1.8,0.286,-0.883,3.167,0.003409,0.410
61,-63.79,0.00,0.00,-407.42,0.091,0.091,5,0.5,0.400,-0.630,0.000,0.000000,0.485
66,-603.46,-75.81,0.00,317.39,0.182,0.455,8,1.8,0.375,-6.289,3.167,0.000000,0.410
62,-1352.33,0.00,0.00,-407.42,0.091,0.091,6,0.5,0.167,-15.255,0.000,0.004752,0.480
67,-120.72,-75.81,0.00,317.39,0.182,0.455,7,1.8,0.429,-1.738,3.167,0.006596,0.487
63,817.32,0.00,0.00,-407.42,0.091,0.091,6,0.5,0.833,6.887,0.000,0.004050,0.475
68,690.49,-75.81,0.00,317.39,0.182,0.455,3,1.8,0.667,10.789,3.167,0.004063,0.482
64,1457.48,0.00,0.00,-407.42,0.091,0.091,7,0.5,0.857,13.829,0.000,0.000000,0.475
69,-1150.80,-75.81,0.00,317.39,0.182,0.455,5,1.8,0.200,-8.605,3.167,0.000000,0.482
65,-19.89,2074.05,0.00,-80.58,0.273,0.182,10,0.8,0.600,-0.107,-2.289,0.005614,0.471
70,1801.26,-75.81,0.00,317.39,0.182,0.455,6,1.8,0.833,11.812,3.167,0.006702,0.477
66,25.94,2074.05,0.00,-80.58,0.273,0.182,4,0.8,0.750,0.185,-2.289,0.000000,0.471
71,-555.32,-75.81,0.00,317.39,0.182,0.455,3,1.8,0.000,-19.983,3.167,0.000000,0.477
67,-168.20,2074.05,0.00,-80.58,0.273,0.182,12,0.8,0.417,-2.301,-2.289,0.004307,0.466
72,716.31,-75.81,0.00,317.39,0.182,0.455,5,1.8,0.800,7.498,3.167,0.003941,0.472
68,-828.24,2074.05,0.00,-80.58,0.273,0.182,14,0.8,0.357,-6.216,-2.289,0.005843,0.461
73,-762.26,-75.81,0.00,317.39,0.182,0.455,6,1.8,0.333,-13.154,3.167,0.005623,0.467
69,290.22,2074.05,0.00,-80.58,0.273,0.182,9,0.8,0.556,2.496,-2.289,0.000000,0.461
74,-475.33,-75.81,0.00,317.39,0.182,0.455,7,1.8,0.286,-6.205,3.167,0.000000,0.467
70,1130.79,2225.89,0.00,-46.57,0.318,0.273,4,1.1,0.500,4.691,0.808,0.005034,0.457
75,-49.40,-75.81,0.00,312.66,0.215,0.455,7,2.1,0.429,-0.595,2.886,0.003292,0.463
71,1653.51,2225.89,0.00,-46.57,0.318,0.273,5,1.1,1.000,18.996,0.808,0.000000,0.457
76,-310.70,-75.81,0.00,312.66,0.215,0.455,3,2.1,0.000,-77.773,2.886,0.000000,0.463
72,-141.52,2225.89,0.00,-46.57,0.318,0.273,13,1.1,0.385,-0.938,0.808,0.004370,0.452
77,-173.43,-75.81,0.00,312.66,0.215,0.455,4,2.1,0.250,-1.848,2.886,0.003693,0.458
73,-487.13,2157.96,0.00,-66.50,0.273,0.182,6,1.3,0.333,-2.324,-0.649,0.003629,0.448
78,-348.27,-75.81,0.00,312.66,0.215,0.455,7,2.1,0.571,-2.662,2.886,0.003643,0.453
74,43.84,2157.96,0.00,-66.50,0.273,0.182,11,1.3,0.455,0.389,-0.649,0.000000,0.448
79,-326.93,-75.81,0.00,312.66,0.215,0.455,5,2.1,0.600,-7.359,2.886,0.000000,0.453
75,1707.77,2157.96,0.00,-66.50,0.273,0.182,5,1.3,0.600,5.485,-0.649,0.003583,0.500
80,108.54,-75.81,0.00,290.41,0.212,0.455,6,1.6,0.500,2.847,3.245,0.003246,0.449
76,500.57,2157.96,0.00,-66.50,0.273,0.182,8,1.3,0.625,7.706,-0.649,0.000000,0.500
81,-655.16,-75.81,0.00,290.41,0.212,0.455,5,1.6,0.000,-46.893,3.245,0.000000,0.449
77,1312.03,2157.96,0.00,-158.58,0.182,0.091,10,1.3,0.600,5.062,-0.649,0.005174,0.495
82,-245.55,-75.81,0.00,239.07,0.230,0.455,10,2.0,0.300,-1.783,2.271,0.004491,0.444
78,-563.58,2668.35,0.00,-112.18,0.189,0.091,12,1.4,0.417,-4.727,-0.604,0.003837,0.490
83,-710.10,-75.81,0.00,148.71,0.171,0.455,6,2.0,0.333,-4.604,1.581,0.002779,0.440
79,1686.10,2668.35,0.00,-112.18,0.189,0.091,8,1.4,0.875,14.528,-0.604,0.000000,0.490
84,-117.48,-75.81,0.00,148.71,0.171,0.455,7,2.0,0.286,-2.019,1.581,0.000000,0.440
80,200.96,2246.09,0.00,-136.26,0.189,0.091,11,1.8,0.545,2.619,-1.810,0.005006,0.485
85,-236.69,-75.81,0.00,99.16,0.135,0.455,6,2.0,0.333,-7.032,1.241,0.003026,0.500
81,-292.68,2246.09,0.00,-136.26,0.189,0.091,8,1.8,0.375,-2.418,-1.810,0.000000,0.485
86,-282.80,-75.81,0.00,99.16,0.135,0.455,4,2.0,0.500,-7.392,1.241,0.000000,0.500
82,3.85,2246.09,0.00,-136.26,0.189,0.091,7,1.8,0.429,0.056,-1.810,0.003522,0.480
87,-347.37,-75.81,0.00,118.32,0.117,0.455,6,2.4,0.333,-4.639,1.329,0.003137,0.495
83,-432.91,2246.09,0.00,-136.26,0.189,0.091,13,1.8,0.538,-3.172,-1.810,0.004742,0.475
88,2868.62,-289.65,0.00,79.44,0.117,0.455,6,2.4,1.000,15.944,1.329,0.004109,0.490
84,1021.25,2246.09,0.00,-136.26,0.189,0.091,13,1.8,0.769,6.986,-1.810,0.000000,0.475
89,-60.82,-289.65,0.00,79.44,0.117,0.455,5,2.4,0.400,-7.110,1.329,0.000000,0.490
85,472.28,2246.09,0.00,-136.26,0.189,0.091,8,1.8,0.500,2.282,-1.810,0.004537,0.471
90,447.49,-289.65,0.00,141.54,0.165,0.455,9,2.4,0.556,3.850,1.756,0.003688,0.485
86,77.32,2246.09,0.00,-136.26,0.189,0.091,9,1.8,0.556,0.971,-1.810,0.000000,0.471
91,2864.84,-289.65,0.00,141.54,0.165,0.455,5,2.4,1.000,14.250,1.756,0.000000,0.485
87,683.79,2493.24,0.00,-114.35,0.227,0.182,7,1.2,0.429,2.966,0.235,0.003200,0.466
92,842.62,-289.65,0.00,262.97,0.239,0.455,8,1.9,0.625,8.147,2.023,0.002516,0.480
88,327.36,2493.24,0.00,-114.35,0.227,0.182,13,1.2,0.538,2.007,0.235,0.004141,0.461
93,-213.30,-289.65,0.00,262.97,0.239,0.455,7,1.9,0.571,-3.243,2.023,0.002633,0.475
89,883.24,2493.24,0.00,-114.35,0.227,0.182,7,1.2,0.714,6.257,0.235,0.000000,0.461
94,-1260.50,-289.65,0.00,262.97,0.239,0.455,8,1.9,0.125,-16.346,2.023,0.000000,0.475
90,31.69,2343.65,0.00,-148.15,0.182,0.091,9,0.9,0.667,0.558,-0.401,0.003808,0.457
